HORIZONTAL;;;;;;;;VERTICAL;;;;;;
Start Chainage;Finish Chainage;Station Centre Line;Station  number;Length of element (m);Radius (m);Speed (Km/h);;Start Chainage;Finish Chaiange;Length of element (m);Radius (m);Gradient    (%);;
19820;19852;;;32;TRANS;;;;;;;;;
19852;19925;;;74;250;50;;;;;;;;
19925;19961;;;36;TRANS;;;;;;;;;
19961;20154;;;193;533.354;60;;;;;;;;
20154;20206;;;52;TRANS;;;;;;;;;
20206;20238;;;32;TRANS;;;;;;;;;
20238;20452;;;214;-800;70;;;;;;;;
20452;20472;;;20;TRANS;;;;;;;;;
20472;20609;;;137;-1019.561;70;;;;;;;;
20609;20629;;;20;TRANS;;;;;;;;;
20629;;;;164;-1505;80;;;;;;;;
20651.0;20726.0;20540;4.4;;;;;;;;;;;
;20793;;;;;80;;;;;;;;
20793;20818;;;25;TRANS;;;;;;;;;
20818;20998;;;180;INFINITY;80;;;;;;;;
20998;21023;;;25;TRANS;;;;;;;;;
21023;21149;;;126;-1505;80;;;;;;;;
21149;21174;;;25;TRANS;;;;;;;;;
21174;21353;;;179;INFINITY;80;;;;;;;;
21353;21404;;;51;TRANS;;;;;;;;;
21404;21546;;;142;605;80;;;;;;;;
21546;21597;;;51;TRANS;;;;;;;;;
21597;;;;156;INFINITY;80;;;;;;;;
21616.0;21691.0;21505;4.5;;;;;;;;;;;
;21753;;;;;80;;;;;;;;
21753;21805;;;52;TRANS;;;;;;;;;
21805;21862;;;57;-70;35;;;;;;;;
21862;21914;;;52;TRANS;;;;;;;;;
21914;22102;;;188;INFINITY;80;;;;;;;;
22102;22162;;;60;TRANS;;;;;;;;;
22162;22183;;;21;55;30;;;;;;;;
22183;22243;;;60;TRANS;;;;;;;;;
22243;22502;;;258;INFINITY;80;;;;;;;;
22502;22550;;;48;TRANS;;;;;;;;;
22550;22577;;;27;655;80;;;;;;;;
22577;22625;;;48;TRANS;;;;;;;;;
22625;22675;;;50;INFINITY;80;;;;;;;;
22675;22740;;;65;TRANS;;;;;;;;;
22740;22787;;;47;-505;80;;;;;;;;
22787;22852;;;65;TRANS;;;;;;;;;
22852;;;;361;INFINITY;80;;;;;;;;
22931.0;23006.0;22820;IC5;;;;;;;;;;;
;23213;;;;;80;;;;;;;;
23213;23273;;;60;TRANS;;;;;;;;;
23273;23455;;;182;315;50;;;;;;;;
23455;23515;;;60;TRANS;;;;;;;;;
23515;23575;;;60;TRANS;;;;;;;;;
23575;23728;;;154;-312;50;;;;;;;;
23728;23788;;;60;TRANS;;;;;;;;;
23788;24248;;;460;INFINITY;80;;;;;;;;
24248;24268;;;20;TRANS;;;;;;;;;
24268;24634;;;365;2000;80;;;;;;;;
24634;24654;;;20;TRANS;;;;;;;;;
24654;24896;;;243;INFINITY;80;;;;;;;;
24896;24942;;;46;TRANS;;;;;;;;;
24942;25078;;;136;175;50;;;;;;;;
25078;25124;;;46;TRANS;;;;;;;;;
25124;;;;513;INFINITY;50;;;;;;;;
25289.0;25364.0;25178;5.1;;;;;;;;;;;
;25637;;;;;50;;;;;;;;
25637;25661;;;24;TRANS;;;;;;;;;
25661;25866;;;205;-355;50;;;;;;;;
25866;25890;;;24;TRANS;;;;;;;;;
25890;25944;;;54;TRANS;;;;;;;;;
25944;26173;;;230;175;50;;;;;;;;
26173;26227;;;54;TRANS;;;;;;;;;
26227;;;;503;INFINITY;80;;;;;;;;
26374.0;26449.0;26263;5.2;;;;;;;;;;;
;26730;;;;;80;;;;;;;;
26730;26784;;;54;TRANS;;;;;;;;;
26784;26881;;;97;-150;50;;;;;;;;
26881;26935;;;54;TRANS;;;;;;;;;
26935;27209;;;274;INFINITY;80;;;;;;;;
27209;27263;;;54;TRANS;;;;;;;;;
27263;27307;;;43;-150;50;;;;;;;;
27307;27361;;;54;TRANS;;;;;;;;;
27361;27676;;;315;INFINITY;80;;;;;;;;
27676;27754;;;78;TRANS;;;;;;;;;
27754;27789;;;35;205;50;;;;;;;;
27789;27867;;;78;TRANS;;;;;;;;;
27867;;;;1382;INFINITY;80;;;;;;;;
28332.0;28407.0;28221;5.3;;;;;;;;;;;
;29249;;;;;80;;;;;;;;
29249;29281;;;32;TRANS;;;;;;;;;
29281;29438;;;157;250;50;;;;;;;;
29438;29470;;;32;TRANS;;;;;;;;;
29470;29756;;;286;INFINITY;80;;;;;;;;
29756;29776;;;20;TRANS;;;;;;;;;
29776;29868;;;92;-1000;50;;;;;;;;
29868;29888;;;20;TRANS;;;;;;;;;
29888;;;;125;INFINITY;80;;;;;;;;
29918.0;29993.0;29807;5.4;;;;;;;;;;;
;30013;;;;;80;;;;;;;;
30013;30033;;;20;TRANS;;;;;;;;;
30033;30214;;;181;-505;50;;;;;;;;
30214;30234;;;20;TRANS;;;;;;;;;
30234;30390;;;156;INFINITY;80;;;;;;;;
